Product URL,Product Name,Product Price,Product Rating,Product Reviews
/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,"₹1,499",4.0 out of 5 stars,322
/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL#customerReviews,American Tourister Spin 49 cms Teal Laptop Backpack,"₹1,099",4.2 out of 5 stars,100+ bought in past month
/blackfriday,Wesley Matrix 15.6 inch 35L Casual Waterproof Laptop Backpack/Office Bag/College Bag/Business Bag/Unisex Travel Backpack (Navy Blue),"₹2,780",4.5 out of 5 stars,M.R.P: 
/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,"PALAY® Tote Bag Corduroy Solid Color Hand Bag for Women Shoulder Bag for Shopping, Commuting, Shopping Bag, Large Grocery Bag",₹499,3.5 out of 5 stars,"1,508"
/American-Tourister-FS0-11-001/dp/B07S13P8BW,M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),"₹1,199",4.4 out of 5 stars,200+ bought in past month
/American-Tourister-FS0-11-001/dp/B07S13P8BW,MI Business Casual 21L Water Resistant Laptop Backpack,₹499,4.0 out of 5 stars,M.R.P: 
/American-Tourister-FS0-11-001/dp/B07S13P8BW#customerReviews,ADISA Women Girls Flower Print Sling Bag Round Crossbody Purse,₹794,4.1 out of 5 stars,787
/blackfriday,"Gizga Essentials Laptop Bag Sleeve Case Cover Pouch for 13.3 Inch Laptop for Men & Women, Padded Laptop Compartment, Free Accessories Pouch, Premium Zipper Closure, Water Repellent Nylon Fabric, Grey",₹399,3.8 out of 5 stars,M.R.P: 
/American-Tourister-FS0-11-001/dp/B07S13P8BW,Martucci Hipe 35L Laptop Backpack for Men and Women/Boys and Girls Unisex/College/School/Travel Bags with 17 Inches Laptop Compartment with Rain Cover(Black),"₹2,999",3.9 out of 5 stars,Only 1 left in stock.
/Wesley-Waterproof-Backpack-College-Business/dp/B08B6F3X7V,"Amazon Basics Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 14.1"" Laptops (Unisex, Black & Grey)",₹749,4.1 out of 5 stars,8
/Wesley-Waterproof-Backpack-College-Business/dp/B08B6F3X7V,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,₹978,3.3 out of 5 stars,200+ bought in past month
/Wesley-Waterproof-Backpack-College-Business/dp/B08B6F3X7V#customerReviews,Red Lemon Swiss Design 40 L Oxford Waterproof Large Capacity Comfortable Business Fashion Travel Men Laptop Backpack Anti theft Computer Bag with rain cover,₹409,4.4 out of 5 stars,M.R.P: 
/Wesley-Waterproof-Backpack-College-Business/dp/B08B6F3X7V,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)","₹1,499",4.4 out of 5 stars,Save ₹10
/Corduroy-Capacity-HandBags-Shoulder-Shopping/dp/B0BZYXT8Q7,"Sirona Sanitary Disposal Bags | 75 Bags | Pad Disposable Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner & Personal Hygiene Waste (Green)",₹298,4.2 out of 5 stars,"26,267"
/Corduroy-Capacity-HandBags-Shoulder-Shopping/dp/B0BZYXT8Q7,"The Purple Tree Canvas Tote Bag For Women - 1 Pc , women tote bag , canvas tote bag , printed tote bag , printed canvas tote bag , stylish bags for women TBAG00422",₹999,4.1 out of 5 stars,7K+ bought in past month
/Corduroy-Capacity-HandBags-Shoulder-Shopping/dp/B0BZYXT8Q7#customerReviews,KILLER Casual College Bags Munich 29L Trendy Polyester Laptop Backpack,₹521,4 Stars & Up,M.R.P: 
